word	ipa
rit	r ɨ t
rite	r a j
rith	r ɨ t
rithy	r ɨ t . th ii
rittany	r ii t . t aa . n ii
ritth	r ɨ t
ritthi	r ɨ t . th i ʔ
rivers	r ii . w əə
riyum	r ii . ɲ u m
rna	ʔ ɑɑ . ʔ ə n . ʔ ee
ro	r oo
ro'a	r ɔ . ʔ aa
ro'ang	r ɔ . ʔ ɑɑ ŋ
ro'el	r ɔ . ʔ ə l
roadth	r oa t
roam	r oa m
roan	r oa n
roas	r oa h
roat	r oa t
roatn	r oa t
robaeum	r ɔ . ɓ aə m
robang	r ɔ . ɓ ɑɑ ŋ
robaoh	r ɔ . ɓ ɑ h
robas	r ɔ . ɓ ɑ h
robert	r oo . ɓ əə t
roberts	r oo . ɓ əə t
robieb	r ɔ . ɓ iə p
robin	r oo . ɓ ii n
robinson	r oo . ɓ ii n . s a n
roboah	r ɔ . ɓ ɑɑ h
roboes	r ɔ . ɓ ə h
robonh	r ɔ . ɓ o ɲ
rochefort	r oo . c ee . f ɑɑ t
rock	r ɑ k
rocks	r ɑ k
rockwell	r ɑ k . w ɛɛ l
rodeo	r oo . ɗ j oo
roderick	r oo . ɗ əə . r ii k
rodgers	r oo . c əə
rodriguez	r oo . ɗ r ii k . g ɛ h
rodth	r oa t
roeang	r ɨə ŋ
roeung	r ɨə ŋ
roger	r oo . c əə
rogers	r oo . g əə
roha	r ɔ . h aa
rohal	r ɔ . h ɑ l
rohas	r ɔ . h a h
rohat	r ɔ . h a t
rohingya	r oo . h i ŋ . j aa
rojo	r oo . c oo
roka	r ɔ . k aa
rokar	r ɔ . k aa
rokat	r ɔ . k a t
rokeah	r ɔ . k ea h
rokeang	r ɔ . k ea ŋ
rolea	r ɔ . l ie
roleab	r ɔ . l ie p
roleang	r ɔ . l ea ŋ
roleung	r ɔ . l əə ŋ
rolf	r oo f
roliek	r ɔ . l iə k
roling	r ɔ . l ii ŋ
rollover	r oo l . ʔ oo . w əə
rolok	r ɔ . l ɔɔ k
roluek	r ɔ . l ɨ k
roluem	r ɔ . l ɨ m
roluh	r ɔ . l u h
rolum	r ɔ . l u m
rolung	r ɔ . l u ŋ
roluos	r ɔ . l uə h
roluoy	r ɔ . l uə j
romdeng	r u m . ɗ ee ŋ
romdol	r u m . ɗ o l
romdoul	r u m . ɗ uə l
romduol	r u m . ɗ uə l
romeang	r ɔ . m ea ŋ
romeas	r ɔ . m ie h
romenh	r ɔ . m ə ɲ
rometty	r oo . m ee . th ii
romiet	r ɔ . m iə t
romoas	r ɔ . m oa h
romon	r ɔ . m ɑɑ n
romonea	r u m . m n ie
romoneiy	r u m . m n ii
romtum	r u m . t u m
romul	r ɔ . m uu l
ron	r u n
rona	r ɔ . n aa
ronaeng	r ɔ . n ae ŋ
ronak	r ɔ . n aa k
ronaldo	r oo . n a l . ɗ oo
roneab	r ɔ . n ie p
roneah	r ɔ . n ie h
roneal	r ɔ . n ie l
roneam	r ɔ . n ie m
roneat	r ɔ . n ie t
rones	r oo . n e h
rong	r o ŋ
rongeang	r ɔ . ŋ iə ŋ
rongieng	r ɔ . ŋ iə ŋ
rongit	r ɔ . ŋ ɨ t
rongvean	r u ŋ . w ie ŋ
rongveas	r u ŋ . w ea h
roniet	r ɔ . n ie t
ronoas	r ɔ . n oa h
ronoung	r ɔ . n oo ŋ
ronteah	r u n . t ea h
ronuk	r ɔ . n u k
roofing	r oo . f ii ŋ
rook	r u k
rooney	r oo . n ii
roosevelt	r oo . s əə . w ɛɛ l
roout	r ɔ . ʔ uu t
ropeak	r ɔ . p ea k
ropeatt	r ɔ . r oa t
roper	r o p . p əə
ropov	r ɔ . p ɨ w
rorng	r ɑɑ ŋ
rorveang	r ɔ . w ie ŋ
ros	r uə h
rosekind	r oo s . kh aa ɲ
rosetta	r oo . s ee . t aa
ross	r ɑ h
rotanak	r oa . t aa . n a k
roteang	r ɔ . t ea ŋ
roteh	r ɔ . t e h
rothbal	r oa t . th a ʔ . ɓ aa l
rother	r oo . th əə
rotonak	r oa t . t a ʔ . n a k
rottanak	r oa t . t a ʔ . n a ʔ
rou	r uu
rouhani	r oo . h aa . n ii
rouk	r oo k
roul	r oo l
rouleau	r uu . l ɨɨ
roundy	r ao n . ɗ ii
roung	r uu ŋ
roungchak	r oo ŋ . c a k
rousseff	r oo . s ɛɛ f
rout	r oo t
router	r a w . t əə
rov	r ə w
rovak	r ɔ . w a k
roveang	r ɔ . w ie ŋ
roveay	r ɔ . w ie j
rover	r oo . w əə
rovieng	r ɔ . w iə ŋ
rowan	r oo . w a n
rowser	r a w . z əə
roy	r o j
roya	r ɔ . j ɑɑ
royak	r ɔ . j ea k
royal	r oo . j a l
royeas	r ɔ . j ea h
rub	r uu p
rubber	r a p . ɓ əə
rubbermaid	r a p . ɓ əə . m ee t
rudyard	r a t . j aa t
rueng	r ɨ ŋ
rues	r ɨ h
ruessei	r ɨ h . s ə j
ruessey	r ɨ h . s ə j
ruhr	r əə
rukh	r u k
rumchak	r u m . c aa k
rumchan	r u m . c a ŋ
rumchang	r u m . c ɑ ŋ
rumcheck	r u m . c ee k
rumchek	r u m . c ee k
rumchey	r u m . c ə j
rumdael	r u m . ɗ ae l
rumdaoh	r u m . ɗ ɑ h
rumdeng	r u m . ɗ ee ŋ
rumdenh	r u m . ɗ ə ɲ
rumduol	r u m . ɗ uə l
rumkel	r u m . k ə l
rumlech	r u m . l ɨ c
rumlich	r u m . l ɨ c
rumlo	r u m . l ɔɔ
rumlok	r u m . l o k
rumloung	r u m . l uu ŋ
rumluek	r u m . l ɨ k
rumpea	r u m . p ie
rumpeak	r u m . p ie k
rumpear	r u m . p ie
rumpeun	r u m . p əə n
rumpoat	r u m . p oa t
rumpuh	r u m . p u h
rumpuk	r u m . p u k
run	r u n
rundas	r u n . ɗ a h
runei	r uu . n ee
rung	r u ŋ
runloung	r u m . l ɔɔ ŋ
ruos	r uə h
ruot	r uə t
rupert	r uu . ph əə t
rush	r a h
russell	r a h . s ɛɛ l
russey	r ɨ h . s ə j
russia	r uu . s ii
rutgers	r a t . g əə
ruto	r uu . t oo
ryan	r aa j . ʔ ə n
ryder	r aa j . ɗ əə
ryerson	r a j . ʔ əə . s ə n
ryland	r aa j . l ɛɛ n
ryukyu	r j uu . k j uu
s	ʔ ɛ h
s'ak	s ʔ ɑɑ k
s'am	s ʔ aa m
s'ang	s ʔ aa ŋ
s'at	s ʔ aa t
s'et	s ʔ ə t
s'ier	s ʔ iə
s'oy	s ʔ o j
sa	s aa
saarland	s aa . l ɛɛ n
sab	s aa p
sabang	s aa . ɓ aa ŋ
sabay	s a p . ɓ aa j
sabina	s aa . ɓ ii . n aa
sabre	s aa . ɓ əə
sach	s aa c
sachs	s ɛɛ k
sae	s ae
saeb	s ae p
saem	s ae m
saen	s ae n
saeng	s ae ŋ
saensokh	s ae n . s o k
saenta	s ae n . t aa
saeseb	s ae . s ə p
saesen	s ae . s ə n
saet	s ae t
saeuch	s aə c
safetracking	s ee f . t r ɛɛ . kh ii ŋ
safeway	s ee f . w ee
sahak	s aa . h a ʔ
sahakkom	s a ʔ . h a ʔ . k u m
sahib	s aa . h ii p
sai	s a j
said	s ee t
sail	s ee l
saint	s ee n
saiva	s a j . w aa
sajida	s aa . j ii . ɗ aa
sak	s aa k
sakha	s aa . kh aa
sakhakkar	s a ʔ . h a ʔ . k ɑɑ
sakkarak	s a ʔ . k aa . r a ʔ
sakmot	s a ʔ . m o t
sakor	s aa . k ɔɔ
sakream	s aa . k r ie m
sakum	s aa . k u m
sakuma	s aa . k uu . m aa
sakura	s aa . k uu . r aa
sal	s aa l
sala	s aa . l aa
salam	s aa . l aa m
salang	s aa . l aa ŋ
sale	s ee l
salei	s aa . l ə j
salesforce	s ee l . f ɑɑ s
sally	s aa l . l ii
salon	s aa . l ɑɑ n
saloung	s aa . l uu ŋ
sam	s a m
sama	s ɑ . m ɑɑ
samaki	s aa m . m aa . k ii
saman	s aa . m aa n
samar	s ɑɑ . m ɑɑ
sambaktean	s ɑ m . ɓ ɑɑ k . t ie n
sambat	s ɑ m . ɓ a t
sambatt	s ɑ m . ɓ a t
sambei	s ɑ m . ɓ ə j
sambok	s ɑ m . ɓ o k
sambour	s ɑ m . ɓ uə
sambuon	s aa m . ɓ uə n
sambuor	s ɑ m . ɓ uə
samchat	s ɑ m . c ɑɑ t
samdach	s ɑ m . ɗ a c
samdech	s ɑ m . ɗ a c
samdei	s ɑ m . ɗ ə j
sameakki	s aa m . m ea ʔ . k ii
sameakkipheap	s aa m . m a ʔ . k ii . ph ie p
sami	s aa . m ii
samkhuoy	s ɑ m . kh uə j
samlanh	s ɑ m . l a ɲ
samlar	s ɑ m . l ɑɑ
samlei	s ɑ m . l ə j
samlieng	s ɑ m . l iə ŋ
samlout	s ɑ m . l oo t
samma	s ɑ m . m ɑɑ
sammobile	s ɛɛ m . m oo . ɓ aa j
sammuoy	s ɑ m . m uə j
samna	s ɑ m . n ɑɑ
samnak	s ɑ m . n ɑɑ k
samnam	s ɑ m . n ɑ m
samnang	s ɑ m . n aa ŋ
samnanh	s ɑ m . n a ɲ
samnar	s ɑ m . n ɑɑ
samnay	s ɑ m . n aa j
samnom	s ɑ m . n o m
samnoy	s ɑ m . n o j
sampan	s ɑ m . p aa n
sampeay	s ɑ m . p ie j
sampeou	s ɑ m . p ɨɨ
samphi	s ɑ m . ph ii
samphin	s ɑ m . ph ɨ n
samphli	s ɑ m . p l ii
samphoar	s ɑ m . ph oa
sampieng	s ɑ m . p iə ŋ
sampir	s ɑ m . p ii
sampoar	s ɑ m . p oa
sampong	s ɑ m . p ɔɔ ŋ
sampoung	s ɑ m . p oo ŋ
sampov	s ɑ m . p ɨ w
sampram	s ɑ m . p r aa m
samprambei	s aa m . p r a m . ɓ ə j
samprieng	s ɑ m . p r iə ŋ
samprouch	s ɑ m . p r oo c
sampung	s ɑ m . p u ŋ
samrae	s ɑ m . r ae
samrang	s ɑ m . r a ŋ
samraong	s ɑ m . r ao ŋ
samreab	s ɑ m . r ie p
samrech	s ɑ m . r a c
samret	s ɑ m . r ə t
samreth	s ɑ m . r ə t
samretth	s ɑ m . r ə t
samretthi	s ɑ m . r ə t . th i ʔ
samril	s ɑ m . r ɨ l
samrom	s ɑ m . r u m
samrong	s ɑ m . r o ŋ
samseb	s aa m . s ə p
samsebpram	s aa m . s ə p . p r a m
samsung	s a m . s u ŋ
samuel	s a m . j uu . ʔ ae l
samyaong	s ɑ m . j ao ŋ
samyong	s ɑ m . j o ŋ
san	s aa n
sandaek	s ɑ n . ɗ ae k
sandal	s ɛɛ n . ɗ ɑɑ l
sandan	s ɑ n . ɗ aa n
sandao	s ɑ n . ɗ a w
sandaong	s ɑ n . ɗ ao ŋ
sandaot	s ɑ n . ɗ ao t
sandar	s ɑ n . ɗ aa
sanday	s ɑ n . ɗ aa j
sanderson	s ɛɛ n . ɗ əə . s ə n
sandisk	s ɛɛ n . ɗ i h
sandler	s ɛɛ n . ɗ l əə
sandol	s ɑ n . ɗ o l
sandra	s a n . ɗ r aa
sands	s ɛɛ n
sandvik	s ɛɛ n . w ii k
sandvikcoromant	s ɛɛ n . w ii k . k oo . r oo . m ɛɛ n
sanfrancisco	s a n . f r a n . s ii s . k oo
sang	s aa ŋ
sangam	s aa . ŋ aa m
sangha	s ɑ ŋ . h aa
sangkae	s ɑ ŋ . k ae
sangkaeub	s ɑ ŋ . k aə p
sangkaeuch	s ɑ ŋ . k aə c
sangke	s ɑ ŋ . k ae
sangkhoar	s ɑ ŋ . kh oa
sangkhor	s ɑ ŋ . kh oa
sangkom	s ɑ ŋ . k u m
sangkreach	s ɑ ŋ . k r ie c
sangkream	s ɑ ŋ . k r ie m
sangkruoh	s ɑ ŋ . k r uə h
sangkum	s ɑ ŋ . k u m
sangva	s ɑ ŋ . w aa
sangvaeuy	s ɑ ŋ . w aə j
sangvan	s ɑ ŋ . w aa n
sangvar	s ɑ ŋ . w aa
sangvat	s ɑ ŋ . w aa t
sanh	s aa ɲ
sanlang	s ɑ n . l ɑ ŋ
sanlaong	s ɑ n . l ao ŋ
sanloem	s ɑ n . l ə m
sanloung	s ɑ n . l uu ŋ
sanlung	s ɑ n . l u ŋ
sanmina	s aa n . m ii . n aa
sanofi	s aa . n oo . f ii
sansam	s ɑ n . s ɑ m
sant	s ɛɛ n
santeah	s ɑ n . t ea h
santepheap	s ɑ n . t e ʔ . ph ie p
santey	s ɑ n . t ə j
santhan	s ɑ n . th aa n
santhor	s ɑ n . th ɔɔ
santich	s ɑ n . t ɨ c
santrea	s ɑ n . t r ie
santreae	s ɑ n . t r ɛɛ
santuch	s ɑ n . t uu c
santuk	s ɑ n . t u k
saob	s ao p
saok	s ao k
saom	s ao m
saophoan	s ao . ph oa n
sar	s ɑɑ
saraiva	s aa . r a j . w aa
saram	s aa . r aa m
saray	s aa . r aa j
sarekar	s aa . r e ʔ . k aa
sari	s aa . r ii
sarieng	s aa . r iə ŋ
sarikakaev	s aa . r e ʔ . k aa . k ae w
sarl	s aa l
sarongk	s aa . r o ŋ
sarovoan	s aa . r aa . w oa n
sarsai	s ɑ . s a j
sas	s a h
sasar	s ɑ . s ɑɑ
sasei	s ɑ . s ə j
saset	s ɑ . s ə t
sasha	s aa . s aa
sat	s a t
satob	s aa . t o p
satong	s aa . t ɔɔ ŋ
satthea	s a t . th ie
satv	s a t
satya	s a t . t j aa
sau	s a w
sauce	s ɑ h
saud	s a w
saukae	s a w . k ae
saumur	s a w . m əə
sav	s aa w
savat	s aa . w aa t
save	s ee w
savefrom	s ee w . f r ɑɑ m
saxo	s aa . kh oo
say	s aa j
sayav	s aa . j aa w
saysana	s aa j . s aa . n aa
sbaek	s ɓ ae k
sbaeng	s ɓ ae ŋ
sbai	s ɓ a j
sbat	s ɓ aa t
sbov	s ɓ ə w
scan	s k ɛɛ n
scana	s k ɛɛ . n aa
scansource	s k ɛɛ n . s ɑɑ h
scarlett	s k aa . l ɛɛ t
schearf	s k ii f
schein	s k iə n
schlenker	s k l ii n . kh əə
schmidt	s k m ii t
schnitzer	s k n a j . z əə
scholarships	s k uu . l aa . s ii p
school	s k uu l
schule	s k uu l
schulman	s k a l . m ɛɛ n
schwab	s w ɛɛ p
schwarz	s w ɑɑ t
schwarzenegger	s w ɑɑ . z ii . n ɛɛ . g əə
sciaroni	s k iə . r oo . n ii
science	s aa j . ʔ ə n
sciences	s aa j . ʔ ə n . s ii s
scientific	s aa j . ʔ ə n . th ii . f ɨ c
scor	s k ɑɑ
scot	s k ɑ t
scotland	s k ɑ t . l ɛɛ n
scott	s k ɑ t
scottish	s k ɑ t . th i h
scotts	s k ɑ t
scripps	s k r ii p
script	s k r ii p
scripts	s c r ii p
sd	ʔ ɛɛ s . ɗ ii
sda	s ɗ aa
sdach	s ɗ a c
sdaeung	s ɗ aə ŋ
sdam	s ɗ a m
sdau	s ɗ a w
sdei	s ɗ ə j
sderng	s ɗ aə ŋ
sdok	s ɗ o k
se	s ee
seaboard	s ii . ɓ ɑɑ t
seaen	s ae n
sealed	s ii . l ii t
sealy	s ie . l ii
sean	s iə n
seang	s ie ŋ
seann	s iə n
sears	s iə
seat	s ii t
seatv	s ii . th ii . w ii
sebastian	s ee . ɓ aa . s t iə n
sechin	s ee . c ii n
secureserver	s e ʔ . k j uə . s əə . w əə
securian	s e ʔ . k j uu . r iə n
securities	s e ʔ . k j uu . r ii . th ii
security	s e ʔ . k j uu . r ii . th ii
seda	s ee . ɗ aa
sedthakkech	s ee t . th a ʔ . k ə c
sedthei	s ee t . th ə j
seek	s ii k
seh	s e h
seha	s ee . h aa
sei	s ə j
seiha	s ə j . h aa
seila	s ə j . l aa
seima	s ə j . m aa
sek	s ee k
sekar	s e ʔ . k aa
sekong	s ee . k o ŋ
sela	s e ʔ . l aa
selang	s ee . l ɑ ŋ
select	s ee . l ə c
selective	s ee . l ə c . th ii w
selena	s ee . l ee . n aa
semgroup	s ɛɛ m . g r u p
semiconductor	s əə . m ii . kh ɑ n . ɗ a k . t əə
seminal	s ee . m ii . n ɑɑ l
sempoli	s ə m . p oo . l ii
sempra	s ə m . p r aa
sen	s ae n
sena	s ee . n aa
senchey	s ae n . c e j
sener	s əə . n əə
senior	s ii . n iə
senson	s ae n . s ɑɑ n
sentry	s ɛɛ n . t r ii
seon	s ɨə n
ser	s aə
serei	s ee . r ə j
sereika	s ee . r ə j . k aa
sereipheap	s ee . r ə j . ph ie p
sereivoan	s e ʔ . r ə j . w oa n
serge	s əə c
sergey	s əə . g ee
serial	s əə . r iə l
serthar	s əə . th aa
server	s əə . w əə
service	s əə . w i h
servicemaster	s əə . w i h . m a s . t əə
services	s əə . w i h . s i s
ses	s e h
sesan	s ee . s aa n
set	s ə t
setbou	s ə t . t ɓ oo
setting	s ə t . th ii ŋ
settings	s ə t . th ii ŋ
seven	s ɛɛ . w ɛɛ n
seventy	s ɛɛ . w ɛɛ n . th ii
sew	s uu
sex	s ə c
sexy	s ə c . s ii
sez	ʔ ɛɛ s . ʔ ii . z ii
sgp	ʔ ɛɛ s . c ii . ph ii
shah	s a h
shake	s ee k
shakespeare	s ee k . s p iə
shane	s ee n
sharaf	s aa . r aa f
share	s ɛə
sharing	s ɛə . r ii ŋ
shea	s iə
shenke	s ə n . k ee
shenyang	s ɛɛ n . j aa ŋ
sheriff	s əə . r ii f
sherwin	s əə . w ii n
shia	s iə
shigeko	s ii . k ee . k oo
shiksha	s ii k . s aa
shin	s ii n
shinzo	s ii n . z oo
shoes	s uu
shop	s ɑɑ p
shortcut	s ɑɑ t . kh a t
show	s oo
shriram	s r ii . r a m
shubham	s uu p . h ɛɛ m
shuibian	s uu . ʔ ii . ɓ iə n
shutter	s a t . th əə
shutterstock	s a t . th əə . s t ɑ k
si	s ii
side	s aa j
siefker	s ii f . k əə
siem	s iə m
sien	s iə n
siev	s iə w
sigma	s ii k . m aa
sigmund	s ii k . m a n
sign	s aa ɲ
sigourney	s i ʔ . g oa . n ii
sihanouk	s ə j . h a ʔ . n u ʔ
sikar	s ii . k aa
silgan	s ii l . g ɛɛ n
silicone	s ii . l ii . kh oo n
siliem	s ii . l iə m
silva	s ii l . w aa
simon	s aa j . m o n
sina	s ii . n aa
singles	s ii ŋ . g ɑɑ l
sinha	s ii n . h aa
sink	s ii ŋ
sinohydro	s ii . n oo . h aa j . ɗ r oo
sis	s i h
site	s a j
siteexplorer	s a j . ʔ ɨ c . s p l ɑɑ . r əə
sith	s ɨ t
sithor	s ii . th ɔɔ
siv	s ii w
sivottha	s ii . w u t . th aa
sk	ʔ ɛɛ s . kh ee
skar	s k aa
skea	s k ie
skear	s k ie
skechers	s k ɛɛ c . ch əə
ski	s k ii
skin	s k ii n
skips	s k i p
skon	s k u n
skor	s k ɑɑ
skuh	s k u h
skul	s k u l
sky	s k aa j
skype	s k aa j
skywest	s k aa j . w ɛ h
skyworks	s k aa j . w əə k
sl	ʔ ɛɛ s . ʔ ə l
sla	s l aa
slab	s l a p
slaeng	s l ae ŋ
slak	s l a k
slanh	s l a ɲ
slat	s l aa t
slideshare	s l aa j . s ɛə
slim	s l ii m
slimspots	s l ii m . s p ɑ t
sloek	s l ə k
slogan	s l oo . g ə n
slout	s l oo t
slow	s l oo
slyngstad	s l ii ŋ . s t ɛɛ t
sm	ʔ ɛɛ s . ʔ ə m
sma	s m aa
smach	s m a c
smaet	s m ae t
sman	s m aa n
smaong	s m ao ŋ
smaonh	s m ao ɲ
smart	s m aa t
smartshopping	s m aa t . s ɑɑ p . ph ii ŋ
smartwatch	s m aa t . w ɑɑ c
smat	s m aa t
smau	s m a w
smer	s m aə
smet	s m ə t
smile	s m aa j
smith	s m ii t
smok	s m o k
smucker	s m a k . kh əə
sna	s n aa
snae	s n ae
snaeng	s n ae ŋ
snam	s n ɑ m
snang	s n aa ŋ
snao	s n ao
snaor	s n ao
snap	s n ɛɛ p
snapchat	s n ɛɛ p . ch aa t
snapple	s n ɛɛ p . ph ɑɑ l
snar	s n ɑɑ
snay	s n aa j
snc	ʔ ɛɛ s . ʔ ə n . s ii
sneaker	s n ii k . kh əə
sneng	s n ae ŋ
snet	s n ə t
sngaeun	s ŋ aə n
snguon	s ŋ uə n
snguot	s ŋ uə t
sniet	s n iə t
snoeng	s n ə ŋ
snouk	s n oo k
snoul	s n oo l
sns	ʔ ɛɛ s . ʔ ə n . ʔ ɛɛ s
snsd	ʔ ɛɛ s . ʔ ə n . ʔ ɛɛ s . ɗ ii
snul	s n u l
snuol	s n uə l
snv	ʔ ɛɛ s . ʔ ə n . w ii
so	s oo
soben	s o ʔ . ɓ ə n
soccer	s ɑ k . kh əə
soccervista	s ɑ k . kh əə . w ii . s t aa
soccerway	s ɑ k . kh əə . w ee
soch	s o c
sochet	s o ʔ . c ə t
sochol	s oo . c o l
social	s o s . j ɑɑ l
socket	s ɑ k . kh ɛɛ t
socrates	s oo . k r aa t
soea	s ɨə
soeng	s ə ŋ
soengh	s ə ŋ
soft	s ɑɑ f
softonic	s oo f . th oo . n ii k
software	s ɑ f . w ɛə
sohu	s oo . h uu
soir	s oa
sok	s o k
sokh	s o k
sokha	s o k . kh aa
sokhao	s o k . h a w
sokhom	s o ʔ . kh o m
sokhsan	s o k . s aa n
soklyphone	s o k . l ii . f oo n
sokonthea	s o ʔ . k u n . th ie
sokram	s o ʔ . k r ɑ m
sol	s o l
solar	s oo . l aa
solutions	s oo . l uu . s ə n
som	s ɑ m
somalia	s oo . m aa . l iə
somethea	s o ʔ . m ee . th ie
somraong	s ɑ m . r ao ŋ
somsor	s ɑ m . s ɑɑ
son	s a n
sonakshi	s oo . n a k . s ii
sonan	s o ʔ . n ɑ n
song	s o ŋ
songha	s ɑ ŋ . h aa
songinokhairkhan	s ɑɑ ŋ . g ii . n oo . kh a j . kh a n
sonic	s oo . n ɨ c
sonoco	s oo . n oo . k oo
sonoma	s oo . n oo . m aa
sons	s a n
sony	s oo . n ii
sophat	s oo . ph aa t
sopheak	s o ʔ . ph ea k
sopheap	s o ʔ . ph ie p
sophi	s o ʔ . ph ii
sophy	s o ʔ . ph ii
sopoar	s o ʔ . p oa
sor	s ɑɑ
soriya	s oo . r i ʔ . j aa
sorya	s oo . r e ʔ . j aa
sos	ʔ ɛɛ s . ʔ oo . ʔ ɛɛ s
sothon	s o ʔ . th o n
sotin	s o ʔ . t ɨ n
sotopoker	s oo . t oo . ph oo . kh əə
sou	s uu
souchan	s uu . c a n
souchey	s oo . c e j
soudei	s oo . ɗ ə j
soukong	s oo . k u ŋ
soundcloud	s ao n . k l a w
soup	s u p
soupheas	s uu . ph ie h
souphi	s oo . ph ii
souphy	s oo . ph ii
sour	s uə
sourceforge	s ao n . f ɑɑ k
souriya	s oo . r e ʔ . j aa
sourken	s uə . k ə n
soutey	s oo . t ə j
southern	s a w . s əə n
southwest	s a w . w ɛɛ h
southwestern	s a w . w ɛɛ s . t əə n
soutib	s oo . t ɨ p
soutin	s oo . t ɨ n
soutr	s oo t
souvong	s uu . w o ŋ
souvongs	s uu . w o ŋ
souyoung	s oo . j oo ŋ
sovann	s o ʔ . w a n
sovanna	s o ʔ . w a n . n aa
soy	s oo j
spa	s p aa
space	s p ee h
spacey	s p ee . s ii
spam	s p ɛɛ m
spartannash	s p aa . t aa . n a h
spea	s p ie
speam	s p ie m
spean	s p ie n
specialty	s p e h . s ɑɑ l . th ii
spectra	s p ə c . t r aa
speedtest	s p ii t . th ɛɛ h
spell	s p ɛɛ l
sper	s p əə
speu	s p ɨɨ
spey	s p e j
spiderman	s p aa j . ɗ əə . m ɛɛ n
spiegel	s p ii . g ɛɛ l
spielberg	s p ɛɛ l . ɓ əə k
spigen	s p ii . c ɛɛ n
spirit	s p iə . r ii t
spok	s p ɔɔ k
spong	s p u ŋ
sporting	s p ɑɑ . th ii ŋ
sportswear	s p ɑɑ t . w ɛə
sporty	s p ɑɑ t . th ii
spot	s p ɑ t
sprague	s p r ɛɛ k
spreadbetting	s p r ɛɛ t . ɓ ɛɛ t . th ii ŋ
springleaf	s p r ii ŋ . l ii f
springs	s p r ii ŋ
sprouts	s p r a w
spueu	s p ɨɨ
squibb	s k w ii p
sra	s r aa
sra'aem	s r ɑ . ʔ ae m
srab	s r a p
srabal	s r ɑ . ɓ aa l
srae	s r ae
sraen	s r ae n
sraeng	s r ae ŋ
sraeta	s r ae . t aa
sraeung	s r ɨə ŋ
srah	s r a h
srak	s r aa k
sraka	s r ɑ . k aa
srakar	s r ɑ . k ɑɑ
srakum	s r ɑ . k u m
sral	s r ɑ l
sralaeng	s r ɑ . l ae ŋ
sralanh	s r ɑ . l a ɲ
sralau	s r ɑ . l a w
sralav	s r ɑ . l a w
sralei	s r ɑ . l ə j
sralet	s r ɑ . l ee t
sraloung	s r ɑ . l oo ŋ
sram	s r ɑ m
srama	s r ɑ . m ɑɑ
sramaoch	s r ɑ . m ao c
sramar	s r ɑ . m ɑɑ
sramok	s r ɑ . m o k
sramov	s r ɑ . m ə w
sranal	s r ɑ . n ɑ l
sranaoh	s r ɑ . n ɑ h
srang	s r ɑ ŋ
srangae	s r ɑ . ŋ ae
srangam	s r ɑ . ŋ aa m
sranok	s r ɑ . n o k
sraom	s r ao m
sraong	s r ao ŋ
sras	s r a h
sraton	s r ɑ . t u n
srav	s r aa w
sray	s r aa j
srayang	s r ɑ . j ɑɑ ŋ
srayov	s r ɑ . j ə w
sre	s r ae
sreh	s r e h
srei	s r ə j
sret	s r ə t
srey	s r ə j
sroeng	s r ə ŋ
sroengk	s r ə ŋ
srok	s r o k
srokyerng	s r o k . j əə ŋ
srongae	s r ɑ . ŋ ae
sror	s r ɑɑ
srormor	s r ɑ . m ɑɑ
srot	s r o t
sroul	s r oo l
srov	s r ə w
sruoch	s r uə c
ss	ʔ ɛɛ s . ʔ ɛɛ s
sserver	ʔ ɛɛ s . s əə . w əə
stackexchange	s t ɛɛ k . ʔ ɨ c . ch ee ŋ
stackoverflow	s t ɛɛ k . ʔ oo . w əə . f l oo
stalin	s t aa . l ii n
stallone	s t aa . l oo n
stamplive	s t ɛɛ m . l aa j
stancorp	s t ɛɛ n . kh ɑɑ p
standard	s t ɛɛ n . ɗ aa t
stanfield	s t ɛɛ n . f iə l
stanley	s t ɛɛ n . l ii
staples	s t ee . ph ɑɑ l
star	s t aa
starbucks	s t aa . ɓ a k
starhub	s t aa . h a p
start	s t aa t
starwood	s t aa . w uu t
statcounter	s t ee t . kh ao n . th əə
state	s t ee t
statement	s t ee t . m ə n
states	s t ee t
statham	s t ee t . h ɛɛ m
staticwebdom	s t ɛɛ . t ii k . w ɛɛ p . ɗ oo m
station	s t ee . s ə n
statoil	s t ee . th oo l
statsmobi	s t ɛɛ t . s m oo . ɓ ii
status	s t ɛɛ t . th ə h
stealth	s t iə l
steang	s t ie ŋ
steel	s t iə l
steelcase	s t iə l . kh ee h
stemcell	s t ɛɛ m . s ɛɛ l
steng	s t ə ŋ
stenting	s t ee n . th ii ŋ
stericycle	s t ee . r ii . s aa j . kh ɑɑ l
steroids	s t ee . r ɑɑ j
steung	s t ɨ ŋ
steve	s t ii w
steven	s t ii . w ɨ n
sthani	s th aa . n ii
sthapor	s th aa . p ɔɔ
sticker	s t ii k . kh əə
stieng	s t iə ŋ
stifel	s t ii . f ɑɑ l
stiller	s t ii l . l əə
stock	s t o k
stoeng	s t ə ŋ
stoeung	s t ɨə ŋ
stoke	s t oo k
stone	s t oo n
stong	s t o ŋ
stor	s ɗ ɑɑ
storage	s t ɑɑ . r ee c
store	s t ɑɑ
stores	s t oa
storng	s t ɑɑ ŋ
stoung	s t oo ŋ
stout	s t ao t
strauss	s t r ɑɑ h
street	s t r ii t
stress	s t r ɛ h
stroang	s t r oa ŋ
stroke	s t r oo k
stryker	s t r aa j . kh əə
